"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-11-30,84424,"60178","IL","Chicago-Naperville-Elgin","DeKalb County","Sycamore",4981,192900,0.00678496868475992,0.00207792207792208,0.0849268841394826,,,"2007-03","2007-Q1",203100,-0.0502215657311669,"2005-11"
2018-11-30,77584,"45322","OH","Dayton","Montgomery County","Englewood",4982,123200,0.00983606557377049,0.0344248530646516,0.114932126696833,,,"2018-11","2018-Q4",123200,0,"2018-11"
2018-11-30,99507,"98022","WA","Seattle-Tacoma-Bellevue","King County","Enumclaw",4983,385300,-0.00464996125032291,-0.00798146240988671,-0.00181347150259067,,,"2018-02","2018-Q1",394700,-0.0238155561185711,"2017-11"
2018-11-30,66741,"21040","MD","Baltimore-Columbia-Towson","Harford County","Edgewood",4984,168900,0.0101674641148325,0.0255009107468124,0.104643557880968,,,"2006-09","2006-Q3",200200,-0.156343656343656,"2005-06"
2018-11-30,95083,"85747","AZ","Tucson","Pima County","Tucson",4985,219500,0.00319926873857404,0.0209302325581395,0.0791543756145526,,,"2006-06","2006-Q2",264900,-0.171385428463571,"2005-06"
2018-11-30,70973,"30233","GA","Atlanta-Sandy Springs-Roswell","Butts County","Jackson",4986,142700,0.0113394755492558,0.0370639534883721,0.137958532695375,,,"2018-11","2018-Q4",142700,0,"2018-11"
2018-11-30,60943,"08052","NJ","Philadelphia-Camden-Wilmington","Burlington County","Maple Shade",4987,178100,0.00394588500563698,0.0206303724928367,0.0601190476190476,,,"2007-03","2007-Q1",214900,-0.171242438343416,"2005-03"
2018-11-30,72685,"33569","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County","Riverview",4988,240500,0.00375626043405676,0.0109289617486339,0.0539000876424189,,,"2006-07","2006-Q3",276200,-0.129254163649529,"2005-10"
2018-11-30,66146,"20024","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",4989,406700,0.00394964206368798,0.00543881334981459,0.0420189597745324,,,"2018-11","2018-Q4",406700,0,"2018-11"
2018-11-30,93253,"80124","CO","Denver-Aurora-Lakewood","Douglas County","Lone Tree",4990,554800,0.00180570603105814,0.00836059614685569,0.0499621498864497,,,"2018-11","2018-Q4",554800,0,"2018-11"
2018-11-30,60848,"07869","NJ","New York-Newark-Jersey City","Morris County","Randolph",4991,512900,-0.00310981535471331,-0.00310981535471331,0.00568627450980392,,,"2006-05","2006-Q2",588900,-0.129054168789268,"2005-01"
2018-11-30,63903,"15106","PA","Pittsburgh","Allegheny County","Carnegie",4992,141300,0.000708215297450425,0.00355113636363636,0.0521221146686523,,,"2018-11","2018-Q4",141300,0,"2018-11"
2018-11-30,90303,"74115","OK","Tulsa","Tulsa County","Tulsa",4993,44800,0.00223713646532438,-0.0281995661605206,0.00674157303370787,,,"2006-09","2006-Q3",51200,-0.125,"2004-04"
2018-11-30,94145,"83404","ID","Idaho Falls","Bonneville County","Idaho Falls",4994,223700,0.014052583862194,0.0448388603456329,0.151905252317199,,,"2018-11","2018-Q4",223700,0,"2018-11"
2018-11-30,60931,"08037","NJ","Atlantic City-Hammonton","Atlantic County","Hammonton",4995,181600,0.00665188470066519,0.00442477876106195,-0.00274574409665019,,,"2007-01","2007-Q1",234700,-0.226246271836387,"2004-12"
2018-11-30,80162,"50131","IA","Des Moines-West Des Moines","Polk County","Johnston",4996,270100,0.00222634508348794,-0.00478997789240973,0.0227186671715259,,,"2018-06","2018-Q2",273000,-0.0106227106227106,"2018-04"
2018-11-30,72814,"33774","FL","Tampa-St. Petersburg-Clearwater","Pinellas County","Largo",4997,239600,0.007145859604876,0.0182745431364216,0.0696428571428571,,,"2006-04","2006-Q2",243800,-0.0172272354388843,"2006-01"
2018-11-30,61231,"08876","NJ","New York-Newark-Jersey City","Somerset County","Branchburg",4998,360400,-0.000277392510402219,-0.000277392510402219,0.0374208405296488,,,"2006-08","2006-Q3",399600,-0.0980980980980981,"2005-02"
2018-11-30,72469,"33166","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County","Miami Springs",4999,351400,0.00861079219288174,0.0135563888087684,0.076593137254902,,,"2006-08","2006-Q3",362600,-0.0308880308880309,"2006-04"
